Unique_ID,Tree_ID,Treatment,Stand,MOE
DESTR_MNG_01,Tree_01,Destructive,Managed,14.958
DESTR_MNG_02,Tree_02,Destructive,Managed,NA
DESTR_MNG_03,Tree_03,Destructive,Managed,13.994
DESTR_MNG_04,Tree_04,Destructive,Managed,NA
DESTR_MNG_05,Tree_05,Destructive,Managed,NA
DESTR_MNG_06,Tree_06,Destructive,Managed,13.592
DESTR_MNG_07,Tree_07,Destructive,Managed,NA
DESTR_MNG_08,Tree_08,Destructive,Managed,13.26
DESTR_MNG_09,Tree_09,Destructive,Managed,NA
DESTR_MNG_10,Tree_10,Destructive,Managed,NA
DESTR_MNG_11,Tree_11,Destructive,Managed,14.38
DESTR_MNG_12,Tree_12,Destructive,Managed,NA
DESTR_MNG_13,Tree_13,Destructive,Managed,13.723
DESTR_MNG_14,Tree_14,Destructive,Managed,NA
DESTR_MNG_15,Tree_15,Destructive,Managed,NA
DESTR_MNG_16,Tree_16,Destructive,Managed,NA
DESTR_MNG_17,Tree_17,Destructive,Managed,NA
DESTR_MNG_18,Tree_18,Destructive,Managed,NA
DESTR_MNG_19,Tree_19,Destructive,Managed,NA
DESTR_MNG_20,Tree_20,Destructive,Managed,11.919
DESTR_MNG_21,Tree_21,Destructive,Managed,NA
DESTR_MNG_22,Tree_22,Destructive,Managed,NA
DESTR_MNG_23,Tree_23,Destructive,Managed,NA
DESTR_MNG_24,Tree_24,Destructive,Managed,NA
DESTR_MNG_25,Tree_25,Destructive,Managed,12.801
DESTR_MNG_26,Tree_26,Destructive,Managed,NA
DESTR_MNG_27,Tree_27,Destructive,Managed,13.099
DESTR_MNG_28,Tree_28,Destructive,Managed,NA
DESTR_MNG_29,Tree_29,Destructive,Managed,NA
DESTR_MNG_30,Tree_30,Destructive,Managed,NA
DESTR_MNG_31,Tree_31,Destructive,Managed,NA
DESTR_MNG_32,Tree_32,Destructive,Managed,10.187
DESTR_MNG_33,Tree_33,Destructive,Managed,NA
DESTR_MNG_34,Tree_34,Destructive,Managed,NA
DESTR_MNG_35,Tree_35,Destructive,Managed,17.629
DESTR_MNG_36,Tree_36,Destructive,Managed,12.193
DESTR_MNG_37,Tree_37,Destructive,Managed,15.019
DESTR_MNG_38,Tree_38,Destructive,Managed,13.305
DESTR_MNG_39,Tree_39,Destructive,Managed,NA
DESTR_MNG_40,Tree_40,Destructive,Managed,15.654
DESTR_MNG_41,Tree_41,Destructive,Managed,NA
DESTR_MNG_42,Tree_42,Destructive,Managed,NA
DESTR_MNG_43,Tree_43,Destructive,Managed,14.71
DESTR_MNG_44,Tree_44,Destructive,Managed,NA
DESTR_MNG_45,Tree_45,Destructive,Managed,NA
DESTR_MNG_46,Tree_46,Destructive,Managed,NA
DESTR_MNG_47,Tree_47,Destructive,Managed,NA
DESTR_MNG_48,Tree_48,Destructive,Managed,13.337
DESTR_MNG_49,Tree_49,Destructive,Managed,NA
DESTR_MNG_50,Tree_50,Destructive,Managed,14.655
DESTR_MNG_51,Tree_51,Destructive,Managed,NA
DESTR_MNG_52,Tree_52,Destructive,Managed,NA
DESTR_MNG_53,Tree_53,Destructive,Managed,NA
DESTR_MNG_54,Tree_54,Destructive,Managed,NA
DESTR_MNG_55,Tree_55,Destructive,Managed,NA
DESTR_MNG_56,Tree_56,Destructive,Managed,NA
DESTR_MNG_57,Tree_57,Destructive,Managed,NA
DESTR_MNG_58,Tree_58,Destructive,Managed,NA
DESTR_MNG_59,Tree_59,Destructive,Managed,NA
DESTR_MNG_60,Tree_60,Destructive,Managed,NA
DESTR_UMNG_01,Tree_01,Destructive,Unmanaged,16.391
DESTR_UMNG_02,Tree_02,Destructive,Unmanaged,NA
DESTR_UMNG_03,Tree_03,Destructive,Unmanaged,NA
DESTR_UMNG_04,Tree_04,Destructive,Unmanaged,16.039
DESTR_UMNG_05,Tree_05,Destructive,Unmanaged,NA
DESTR_UMNG_06,Tree_06,Destructive,Unmanaged,NA
DESTR_UMNG_07,Tree_07,Destructive,Unmanaged,11.154
DESTR_UMNG_08,Tree_08,Destructive,Unmanaged,NA
DESTR_UMNG_09,Tree_09,Destructive,Unmanaged,NA
DESTR_UMNG_10,Tree_10,Destructive,Unmanaged,NA
DESTR_UMNG_11,Tree_11,Destructive,Unmanaged,14.497
DESTR_UMNG_12,Tree_12,Destructive,Unmanaged,NA
DESTR_UMNG_13,Tree_13,Destructive,Unmanaged,16.586
DESTR_UMNG_14,Tree_14,Destructive,Unmanaged,NA
DESTR_UMNG_15,Tree_15,Destructive,Unmanaged,16.288
DESTR_UMNG_16,Tree_16,Destructive,Unmanaged,12.687
DESTR_UMNG_17,Tree_17,Destructive,Unmanaged,17.992
DESTR_UMNG_18,Tree_18,Destructive,Unmanaged,NA
DESTR_UMNG_19,Tree_19,Destructive,Unmanaged,NA
DESTR_UMNG_20,Tree_20,Destructive,Unmanaged,NA
DESTR_UMNG_21,Tree_21,Destructive,Unmanaged,NA
DESTR_UMNG_22,Tree_22,Destructive,Unmanaged,NA
DESTR_UMNG_23,Tree_23,Destructive,Unmanaged,14.966
DESTR_UMNG_24,Tree_24,Destructive,Unmanaged,NA
DESTR_UMNG_25,Tree_25,Destructive,Unmanaged,15.305
DESTR_UMNG_26,Tree_26,Destructive,Unmanaged,NA
DESTR_UMNG_27,Tree_27,Destructive,Unmanaged,16.837
DESTR_UMNG_28,Tree_28,Destructive,Unmanaged,15.053
DESTR_UMNG_29,Tree_29,Destructive,Unmanaged,NA
DESTR_UMNG_30,Tree_30,Destructive,Unmanaged,NA
DESTR_UMNG_31,Tree_31,Destructive,Unmanaged,NA
DESTR_UMNG_32,Tree_32,Destructive,Unmanaged,16.976
DESTR_UMNG_33,Tree_33,Destructive,Unmanaged,NA
DESTR_UMNG_34,Tree_34,Destructive,Unmanaged,NA
DESTR_UMNG_35,Tree_35,Destructive,Unmanaged,16.025
DESTR_UMNG_36,Tree_36,Destructive,Unmanaged,NA
DESTR_UMNG_37,Tree_37,Destructive,Unmanaged,NA
DESTR_UMNG_38,Tree_38,Destructive,Unmanaged,NA
DESTR_UMNG_39,Tree_39,Destructive,Unmanaged,17.821
DESTR_UMNG_40,Tree_40,Destructive,Unmanaged,15.637
DESTR_UMNG_41,Tree_41,Destructive,Unmanaged,17.777
DESTR_UMNG_42,Tree_42,Destructive,Unmanaged,NA
DESTR_UMNG_43,Tree_43,Destructive,Unmanaged,NA
DESTR_UMNG_44,Tree_44,Destructive,Unmanaged,15.644
DESTR_UMNG_45,Tree_45,Destructive,Unmanaged,NA
DESTR_UMNG_46,Tree_46,Destructive,Unmanaged,NA
DESTR_UMNG_47,Tree_47,Destructive,Unmanaged,NA
DESTR_UMNG_48,Tree_48,Destructive,Unmanaged,NA
DESTR_UMNG_49,Tree_49,Destructive,Unmanaged,NA
DESTR_UMNG_50,Tree_50,Destructive,Unmanaged,NA
DESTR_UMNG_51,Tree_51,Destructive,Unmanaged,NA
DESTR_UMNG_52,Tree_52,Destructive,Unmanaged,NA
DESTR_UMNG_53,Tree_53,Destructive,Unmanaged,NA
DESTR_UMNG_54,Tree_54,Destructive,Unmanaged,NA
DESTR_UMNG_55,Tree_55,Destructive,Unmanaged,NA
DESTR_UMNG_56,Tree_56,Destructive,Unmanaged,NA
DESTR_UMNG_57,Tree_57,Destructive,Unmanaged,NA
DESTR_UMNG_58,Tree_58,Destructive,Unmanaged,NA
DESTR_UMNG_59,Tree_59,Destructive,Unmanaged,NA
DESTR_UMNG_60,Tree_60,Destructive,Unmanaged,NA
TS_MNG_01,Tree_01,TreeSonic,Managed,9.64
TS_MNG_02,Tree_02,TreeSonic,Managed,9.95
TS_MNG_03,Tree_03,TreeSonic,Managed,11.4
TS_MNG_04,Tree_04,TreeSonic,Managed,11.3
TS_MNG_05,Tree_05,TreeSonic,Managed,11.44
TS_MNG_06,Tree_06,TreeSonic,Managed,10.53
TS_MNG_07,Tree_07,TreeSonic,Managed,9.78
TS_MNG_08,Tree_08,TreeSonic,Managed,10.66
TS_MNG_09,Tree_09,TreeSonic,Managed,11.12
TS_MNG_10,Tree_10,TreeSonic,Managed,10.37
TS_MNG_11,Tree_11,TreeSonic,Managed,9.67
TS_MNG_12,Tree_12,TreeSonic,Managed,9.72
TS_MNG_13,Tree_13,TreeSonic,Managed,10.5
TS_MNG_14,Tree_14,TreeSonic,Managed,7.92
TS_MNG_15,Tree_15,TreeSonic,Managed,9.37
TS_MNG_16,Tree_16,TreeSonic,Managed,11.44
TS_MNG_17,Tree_17,TreeSonic,Managed,10.66
TS_MNG_18,Tree_18,TreeSonic,Managed,9.64
TS_MNG_19,Tree_19,TreeSonic,Managed,11.16
