"contrast","Stand","estimate","SE","df","t.ratio","p.value"
"Destructive - Microsecond","Managed",11.9620555555556,0.390294163204558,109,30.648820001149,5.17363929475323e-14
"Destructive - Resistrograph","Managed",3.30972222222223,0.681487302459932,109,4.85661612516518,2.36708302892019e-05
"Destructive - TreeSonic","Managed",3.08861111111111,0.4524097159683,109,6.8270220600822,3.06583802789362e-09
"Microsecond - Resistrograph","Managed",-8.65233333333333,0.561212287351646,109,-15.4172200579634,5.17363929475323e-14
"Microsecond - TreeSonic","Managed",-8.87344444444445,0.234965612724224,109,-37.7648641499686,5.17363929475323e-14
"Resistrograph - TreeSonic","Managed",-0.221111111111116,0.60605630823005,109,-0.364835920538237,0.983311060524285
"Destructive - Microsecond","Unmanaged",13.8225,0.390294163204559,109,35.4155949617813,5.17363929475323e-14
"Destructive - Resistrograph","Unmanaged",4.14250000000002,0.681487302459932,109,6.07861655682657,1.08765347839324e-07
"Destructive - TreeSonic","Unmanaged",5.21305555555558,0.452409715968301,109,11.5228638368165,6.3948846218409e-14
"Microsecond - Resistrograph","Unmanaged",-9.68,0.561212287351646,109,-17.2483750234333,5.17363929475323e-14
"Microsecond - TreeSonic","Unmanaged",-8.60944444444445,0.234965612724224,109,-36.6412954841577,5.17363929475323e-14
"Resistrograph - TreeSonic","Unmanaged",1.07055555555556,0.606056308230051,109,1.76642919315871,0.295102231198526
